task_id,category,difficulty,agent_timeout_min,expert_min,junior_min
2048,games,hard,240.0,30.0,120.0
alp-paper-reproduction,software-engineering,hard,60.0,120.0,360.0
apex-ib244-matter,tool-use,hard,240.0,240.0,600.0
apex-investment-banking-matter,tool-use,hard,240.0,300.0,720.0
apex-law433-matter,tool-use,hard,300.0,510.0,1440.0
apex-management-consulting-matter,tool-use,hard,360.0,600.0,1400.0
apex-openroad-ibex-signoff,tool-use,hard,480.0,480.0,1200.0
audio-visual-event-alignment,multimodal,hard,90.0,300.0,720.0
chess-mate,games,hard,240.0,30.0,180.0
climate-netcdf-extreme-event-audit,climate-science,hard,60.0,240.0,600.0
commit0-multilib-tdd,software-engineering,hard,300.0,480.0,1200.0
dicom-radiology-audit,health-medicine,hard,60.0,240.0,600.0
document-table-layout-reconstruction,multimodal,hard,90.0,300.0,720.0
duckdb-optimizer-closure,systems-engineering,hard,360.0,300.0,720.0
epa-swmm-stormwater-regression-audit,engineering-regression,hard,60.0,240.0,720.0
epidemic-inverse-control-audit,mathematical-modeling,hard,60.0,240.0,720.0
foldseek-paper-reproduction,software-engineering,hard,60.0,120.0,360.0
gdal-proj-raster-regression,engineering-architecture,hard,60.0,300.0,720.0
generals-bot-arena,game-ai,hard,240.0,300.0,600.0
grammar-fuzz-coverage-hunt,security-testing,hard,180.0,240.0,480.0
great-expectations-audit,software-engineering,hard,60.0,120.0,360.0
langchain-version-migration,software-engineering,hard,90.0,120.0,360.0
materials-phase-diagram-audit,materials-science,hard,60.0,300.0,720.0
matpower-opf-regression,engineering-architecture,hard,60.0,180.0,420.0
microscopy-cell-count-qc-audit,multimodal,hard,90.0,300.0,720.0
modflow6-groundwater-regression-audit,engineering-regression,hard,60.0,240.0,720.0
nbody-accel-iterative,scientific-computing,hard,180.0,240.0,480.0
nrel-pysam-hybrid-renewables-audit,engineering-regression,hard,60.0,240.0,720.0
opensees-seismic-structural-regression-audit,engineering-regression,hard,60.0,240.0,720.0
poc-exploit-craft,security,hard,180.0,240.0,480.0
riscv-core-debug,software-engineering,hard,360.0,360.0,720.0
robotics-slam-benchmark-repair,robotics,hard,60.0,240.0,600.0
rush_hour_campaign,games,hard,60.0,30.0,120.0
satellite-flood-change-detection-audit,multimodal,hard,90.0,300.0,720.0
scientific-figure-data-reconstruction,multimodal,hard,90.0,300.0,720.0
snake_maze_campaign,games,hard,60.0,35.0,120.0
sokoban,games,hard,240.0,30.0,120.0
spice-ephemeris-regression,engineering-architecture,hard,60.0,240.0,540.0
spot-scheduler-traces,systems-engineering,hard,180.0,200.0,480.0
su2-airfoil-regression,engineering-architecture,hard,60.0,120.0,300.0
sudoku-recovery,puzzle,hard,90.0,75.0,120.0
super-mario,games,hard,60.0,50.0,200.0
tabular-data-feature-covshift,ml,hard,240.0,240.0,480.0
unison-paper-reproduction,software-engineering,hard,90.0,120.0,360.0
unknown-config-semantics,reverse-engineering,hard,240.0,95.0,260.0
vector-db-iterative-build,systems-engineering,hard,240.0,360.0,720.0
