data_source,prompt,ability,reward_model,extra_info
SpatialCLI-Train,"[{'role': 'user', 'content': '<image><image>\nBased on the first image, which object is closer to the camera: the orange toy fighter jet or the white capsule-shaped case? Additionally, in what direction did the camera move and rotate to capture the second image?\nOptions:\nA: The orange toy fighter jet is closer; the camera moved forward-left and rotated down.\nB: The orange toy fighter jet is closer; the camera moved forward-left and rotated up.\nC: The white capsule-shaped case is closer; the camera moved forward-left and rotated down.\nD: The orange toy fighter jet is closer; the camera moved backward-right and rotated up.\nE: The white capsule-shaped case is closer; the camera moved backward-left and rotated down.\nF: The white capsule-shaped case is closer; the camera moved forward-right and rotated up.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'C', 'style': 'rule'}","{'index': 0, 'record_id': 'mindcube-bench-1cebdf678cb05bb5', 'source_dataset': 'mindcube', 'source_type': 'MindCubeBench', 'answer': 'C', 'required_capabilities': 'DP', 'difficulty_bucket': 'medium', 'num_images': 2, 'num_options': 6, 'question': 'Based on the first image, which object is closer to the camera: the orange toy fighter jet or the white capsule-shaped case? Additionally, in what direction did the camera move and rotate to capture the second image?\nOptions:\nA: The orange toy fighter jet is closer; the camera moved forward-left and rotated down.\nB: The orange toy fighter jet is closer; the camera moved forward-left and rotated up.\nC: The white capsule-shaped case is closer; the camera moved forward-left and rotated down.\nD: The orange toy fighter jet is closer; the camera moved backward-right and rotated up.\nE: The white capsule-shaped case is closer; the camera moved backward-left and rotated down.\nF: The white capsule-shaped case is closer; the camera moved forward-right and rotated up.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image>\nWhere in the image is the white watering can located relative to the Soft Scrub bottle, and which of the two objects is closer to the camera?\nOptions:\nA: The watering can is higher and to the right in the image, and the watering can is closer to the camera.\nB: The watering can is lower and to the left in the image, and the Soft Scrub bottle is closer to the camera.\nC: The watering can is lower and to the left in the image, and the watering can is closer to the camera.\nD: The watering can is lower and to the right in the image, and the watering can is closer to the camera.\nE: The watering can is lower and to the right in the image, and the Soft Scrub bottle is closer to the camera.\nF: The watering can is higher and to the right in the image, and the Soft Scrub bottle is closer to the camera.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'E', 'style': 'rule'}","{'index': 1, 'record_id': 'bopask-object-rearrangement-e8c048940aec289b', 'source_dataset': 'bopask', 'source_type': 'Object-Rearrangement', 'answer': 'E', 'required_capabilities': 'GD', 'difficulty_bucket': 'medium', 'num_images': 1, 'num_options': 6, 'question': 'Where in the image is the white watering can located relative to the Soft Scrub bottle, and which of the two objects is closer to the camera?\nOptions:\nA: The watering can is higher and to the right in the image, and the watering can is closer to the camera.\nB: The watering can is lower and to the left in the image, and the Soft Scrub bottle is closer to the camera.\nC: The watering can is lower and to the left in the image, and the watering can is closer to the camera.\nD: The watering can is lower and to the right in the image, and the watering can is closer to the camera.\nE: The watering can is lower and to the right in the image, and the Soft Scrub bottle is closer to the camera.\nF: The watering can is higher and to the right in the image, and the Soft Scrub bottle is closer to the camera.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image><image>\nIn the first image, consider the blue aerosol can and the red and blue athletic shoe. Based on their 2D center points, which object is located higher up (has a smaller y-coordinate), and what is the direction of the camera\'s translation from the first to the second view?\nOptions:\nA: The shoe is located higher up; the camera translates forward-right.\nB: The shoe is located higher up; the camera translates forward-left.\nC: The can is located higher up; the camera translates forward-right.\nD: The can is located higher up; the camera translates backward-left.\nE: The shoe is located higher up; the camera translates backward-left.\nF: The can is located higher up; the camera translates forward-left.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'A', 'style': 'rule'}","{'index': 2, 'record_id': 'mindcube-bench-ddbbfdfc0740ebe2', 'source_dataset': 'mindcube', 'source_type': 'MindCubeBench', 'answer': 'A', 'required_capabilities': 'GP', 'difficulty_bucket': 'medium', 'num_images': 2, 'num_options': 6, 'question': 'In the first image, consider the blue aerosol can and the red and blue athletic shoe. Based on their 2D center points, which object is located higher up (has a smaller y-coordinate), and what is the direction of the camera\'s translation from the first to the second view?\nOptions:\nA: The shoe is located higher up; the camera translates forward-right.\nB: The shoe is located higher up; the camera translates forward-left.\nC: The can is located higher up; the camera translates forward-right.\nD: The can is located higher up; the camera translates backward-left.\nE: The shoe is located higher up; the camera translates backward-left.\nF: The can is located higher up; the camera translates forward-left.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image><image>\nBetween the first and second images, how does the camera\'s distance to the yellow toy helicopter change, and in which direction does the camera rotate its view?\nOptions:\nA: The distance to the yellow toy helicopter decreases, and the camera rotates its view to the left.\nB: The distance to the yellow toy helicopter increases, and the camera rotates its view to the right.\nC: The distance to the yellow toy helicopter decreases, and the camera rotates its view upward.\nD: The distance to the yellow toy helicopter increases, and the camera rotates its view to the left.\nE: The distance to the yellow toy helicopter increases, and the camera rotates its view upward.\nF: The distance to the yellow toy helicopter decreases, and the camera rotates its view to the right.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'F', 'style': 'rule'}","{'index': 3, 'record_id': 'mindcube-bench-d38b78e3e7ed70e0', 'source_dataset': 'mindcube', 'source_type': 'MindCubeBench', 'answer': 'F', 'required_capabilities': 'DP', 'difficulty_bucket': 'hard', 'num_images': 2, 'num_options': 6, 'question': 'Between the first and second images, how does the camera\'s distance to the yellow toy helicopter change, and in which direction does the camera rotate its view?\nOptions:\nA: The distance to the yellow toy helicopter decreases, and the camera rotates its view to the left.\nB: The distance to the yellow toy helicopter increases, and the camera rotates its view to the right.\nC: The distance to the yellow toy helicopter decreases, and the camera rotates its view upward.\nD: The distance to the yellow toy helicopter increases, and the camera rotates its view to the left.\nE: The distance to the yellow toy helicopter increases, and the camera rotates its view upward.\nF: The distance to the yellow toy helicopter decreases, and the camera rotates its view to the right.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image>\nConsider the ceiling light fixture and the silver range hood. Which object is located higher in the image, which one is closer to the camera, and which side of the range hood is visible?\nOptions:\nA: The ceiling light fixture is higher in the image, the range hood is closer to the camera, and the back of the range hood is visible.\nB: The range hood is higher in the image, the ceiling light fixture is closer to the camera, and the front of the range hood is visible.\nC: The ceiling light fixture is higher in the image, the range hood is closer to the camera, and the front of the range hood is visible.\nD: The range hood is higher in the image and closer to the camera, and the front of the range hood is visible.\nE: The ceiling light fixture is higher in the image and closer to the camera, and the back of the range hood is visible.\nF: The ceiling light fixture is higher in the image and closer to the camera, and the front of the range hood is visible.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'F', 'style': 'rule'}","{'index': 4, 'record_id': 'refspatial-3D-reasoning_template_qa-2b0cc7cedd202e66', 'source_dataset': 'refspatial', 'source_type': '3D/reasoning_template_qa', 'answer': 'F', 'required_capabilities': 'GDP', 'difficulty_bucket': 'medium', 'num_images': 1, 'num_options': 6, 'question': 'Consider the ceiling light fixture and the silver range hood. Which object is located higher in the image, which one is closer to the camera, and which side of the range hood is visible?\nOptions:\nA: The ceiling light fixture is higher in the image, the range hood is closer to the camera, and the back of the range hood is visible.\nB: The range hood is higher in the image, the ceiling light fixture is closer to the camera, and the front of the range hood is visible.\nC: The ceiling light fixture is higher in the image, the range hood is closer to the camera, and the front of the range hood is visible.\nD: The range hood is higher in the image and closer to the camera, and the front of the range hood is visible.\nE: The ceiling light fixture is higher in the image and closer to the camera, and the back of the range hood is visible.\nF: The ceiling light fixture is higher in the image and closer to the camera, and the front of the range hood is visible.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image><image>\nConsider the first image. Comparing the 2D image-plane centers of the bright pink ball and the black backpack, which object is located higher (closer to the top edge of the image)? Additionally, what is the position direction of the camera\'s motion from the first image to the second?\nOptions:\nA: The black backpack is higher; the camera\'s position direction is backward-left.\nB: The bright pink ball is higher; the camera\'s position direction is backward-left.\nC: The black backpack is higher; the camera\'s position direction is forward-left.\nD: The bright pink ball is higher; the camera\'s position direction is forward-right.\nE: The bright pink ball is higher; the camera\'s position direction is forward-left.\nF: The black backpack is higher; the camera\'s position direction is forward-right.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'C', 'style': 'rule'}","{'index': 5, 'record_id': 'mindcube-bench-32702c89ff4b9fba', 'source_dataset': 'mindcube', 'source_type': 'MindCubeBench', 'answer': 'C', 'required_capabilities': 'GP', 'difficulty_bucket': 'medium', 'num_images': 2, 'num_options': 6, 'question': 'Consider the first image. Comparing the 2D image-plane centers of the bright pink ball and the black backpack, which object is located higher (closer to the top edge of the image)? Additionally, what is the position direction of the camera\'s motion from the first image to the second?\nOptions:\nA: The black backpack is higher; the camera\'s position direction is backward-left.\nB: The bright pink ball is higher; the camera\'s position direction is backward-left.\nC: The black backpack is higher; the camera\'s position direction is forward-left.\nD: The bright pink ball is higher; the camera\'s position direction is forward-right.\nE: The bright pink ball is higher; the camera\'s position direction is forward-left.\nF: The black backpack is higher; the camera\'s position direction is forward-right.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image>\nBetween the toy cow and the orange juice carton, which object is located further to the right in the image, which one is closer to the camera, and which side of the toy cow is visible?\nOptions:\nA: Further right: orange juice carton; Closer: toy cow; Cow\'s visible side: front-right\nB: Further right: toy cow; Closer: orange juice carton; Cow\'s visible side: front-right\nC: Further right: orange juice carton; Closer: toy cow; Cow\'s visible side: front-left\nD: Further right: toy cow; Closer: toy cow; Cow\'s visible side: front-left\nE: Further right: orange juice carton; Closer: orange juice carton; Cow\'s visible side: front-right\nF: Further right: orange juice carton; Closer: orange juice carton; Cow\'s visible side: front-left\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'E', 'style': 'rule'}","{'index': 6, 'record_id': 'bopask-object-rearrangement-fc7a4356118224dc', 'source_dataset': 'bopask', 'source_type': 'Object-Rearrangement', 'answer': 'E', 'required_capabilities': 'GDP', 'difficulty_bucket': 'easy', 'num_images': 1, 'num_options': 6, 'question': 'Between the toy cow and the orange juice carton, which object is located further to the right in the image, which one is closer to the camera, and which side of the toy cow is visible?\nOptions:\nA: Further right: orange juice carton; Closer: toy cow; Cow\'s visible side: front-right\nB: Further right: toy cow; Closer: orange juice carton; Cow\'s visible side: front-right\nC: Further right: orange juice carton; Closer: toy cow; Cow\'s visible side: front-left\nD: Further right: toy cow; Closer: toy cow; Cow\'s visible side: front-left\nE: Further right: orange juice carton; Closer: orange juice carton; Cow\'s visible side: front-right\nF: Further right: orange juice carton; Closer: orange juice carton; Cow\'s visible side: front-left\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image>\nAmong the wooden podium, the man speaking at the podium, and the woman clapping in the tan jacket, which appears lowest in the image (closest to the bottom edge), and which is furthest from the camera?\nOptions:\nA: Lowest is the woman in the tan jacket; furthest is the wooden podium.\nB: Lowest is the man speaking; furthest is the woman in the tan jacket.\nC: Lowest is the wooden podium; furthest is the wooden podium.\nD: Lowest is the wooden podium; furthest is the man speaking.\nE: Lowest is the man speaking; furthest is the wooden podium.\nF: Lowest is the woman in the tan jacket; furthest is the man speaking.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'D', 'style': 'rule'}","{'index': 7, 'record_id': 'refspatial-2D-choice_qa-69c87efc98d828fb', 'source_dataset': 'refspatial', 'source_type': '2D/choice_qa', 'answer': 'D', 'required_capabilities': 'GD', 'difficulty_bucket': 'medium', 'num_images': 1, 'num_options': 6, 'question': 'Among the wooden podium, the man speaking at the podium, and the woman clapping in the tan jacket, which appears lowest in the image (closest to the bottom edge), and which is furthest from the camera?\nOptions:\nA: Lowest is the woman in the tan jacket; furthest is the wooden podium.\nB: Lowest is the man speaking; furthest is the woman in the tan jacket.\nC: Lowest is the wooden podium; furthest is the wooden podium.\nD: Lowest is the wooden podium; furthest is the man speaking.\nE: Lowest is the man speaking; furthest is the wooden podium.\nF: Lowest is the woman in the tan jacket; furthest is the man speaking.\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image><image>\nBased on the two images, consider the cylindrical wooden side table and the blue glove on the floor in the first image. Which of these two objects is closer to the camera, which object appears further to the right in the image, and in which direction did the camera change position to capture the second image?\nOptions:\nA: Closer: blue glove; Further right: blue glove; Camera position moved: right\nB: Closer: side table; Further right: blue glove; Camera position moved: down\nC: Closer: side table; Further right: blue glove; Camera position moved: right\nD: Closer: side table; Further right: blue glove; Camera position moved: up\nE: Closer: side table; Further right: blue glove; Camera position moved: left\nF: Closer: side table; Further right: side table; Camera position moved: right\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'C', 'style': 'rule'}","{'index': 8, 'record_id': 'refspatial-3D-multi_view_qa-670e16663a2c5a42', 'source_dataset': 'refspatial', 'source_type': '3D/multi_view_qa', 'answer': 'C', 'required_capabilities': 'GDP', 'difficulty_bucket': 'medium', 'num_images': 2, 'num_options': 6, 'question': 'Based on the two images, consider the cylindrical wooden side table and the blue glove on the floor in the first image. Which of these two objects is closer to the camera, which object appears further to the right in the image, and in which direction did the camera change position to capture the second image?\nOptions:\nA: Closer: blue glove; Further right: blue glove; Camera position moved: right\nB: Closer: side table; Further right: blue glove; Camera position moved: down\nC: Closer: side table; Further right: blue glove; Camera position moved: right\nD: Closer: side table; Further right: blue glove; Camera position moved: up\nE: Closer: side table; Further right: blue glove; Camera position moved: left\nF: Closer: side table; Further right: side table; Camera position moved: right\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
SpatialCLI-Train,"[{'role': 'user', 'content': '<image>\nConsider the closed wooden door with glass panels in the background and the white square light switch on the wall. Which object is located further to the right in the image, which object is physically closer to the camera, and which side of the closed wooden door is visible?\nOptions:\nA: The light switch is further right, the closed door is closer, and the front side of the door is visible\nB: The closed door is further right, the closed door is closer, and the front side of the door is visible\nC: The light switch is further right, the light switch is closer, and the front side of the door is visible\nD: The light switch is further right, the closed door is closer, and the back side of the door is visible\nE: The closed door is further right, the light switch is closer, and the front side of the door is visible\nF: The light switch is further right, the light switch is closer, and the back side of the door is visible\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.'}]",SpatialCLI-Train,"{'ground_truth': 'C', 'style': 'rule'}","{'index': 9, 'record_id': 'refspatial-3D-vacant_qa-eed7b1d244240a7f', 'source_dataset': 'refspatial', 'source_type': '3D/vacant_qa', 'answer': 'C', 'required_capabilities': 'GDP', 'difficulty_bucket': 'medium', 'num_images': 1, 'num_options': 6, 'question': 'Consider the closed wooden door with glass panels in the background and the white square light switch on the wall. Which object is located further to the right in the image, which object is physically closer to the camera, and which side of the closed wooden door is visible?\nOptions:\nA: The light switch is further right, the closed door is closer, and the front side of the door is visible\nB: The closed door is further right, the closed door is closer, and the front side of the door is visible\nC: The light switch is further right, the light switch is closer, and the front side of the door is visible\nD: The light switch is further right, the closed door is closer, and the back side of the door is visible\nE: The closed door is further right, the light switch is closer, and the front side of the door is visible\nF: The light switch is further right, the light switch is closer, and the back side of the door is visible\nBefore choosing, briefly state the relevant facts and verify every clause of the selected option against all evidence available during solving. For any depth observations, smaller values mean closer; do not retain an earlier visual guess after receiving stronger evidence. Please show your choice in the answer field with only the choice letter, e.g., {""answer"": ""C""}.', 'split': 'bench'}"
